Tag,Player,Elo,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6,LeadPokemon,TurnCount,Result,Pokemon 1 Move 1,Pokemon 1 Move 2,Pokemon 1 Move 3,Pokemon 1 Move 4,Pokemon 2 Move 1,Pokemon 2 Move 2,Pokemon 2 Move 3,Pokemon 2 Move 4,Pokemon 3 Move 1,Pokemon 3 Move 2,Pokemon 3 Move 3,Pokemon 3 Move 4,Pokemon 4 Move 1,Pokemon 4 Move 2,Pokemon 4 Move 3,Pokemon 4 Move 4,Pokemon 5 Move 1,Pokemon 5 Move 2,Pokemon 5 Move 3,Pokemon 5 Move 4,Pokemon 6 Move 1,Pokemon 6 Move 2,Pokemon 6 Move 3,Pokemon 6 Move 4,Weather-Rain,Weather-Sand
1000949555,HaxerShouldAllDie,1444,Infernape,Breloom,Tyranitar,Jellicent,Bronzong,Reuniclus,Infernape,24,lose,Fire Blast,Stealth Rock,Fake Out,Close Combat,Spore,Mach Punch,Bullet Seed,None,None,None,None,None,Trick Room,Hidden Power,Scald,None,Trick Room,Gyro Ball,None,None,None,None,None,None,0,0
1000956864,HaxerShouldAllDie,1365,Infernape,Breloom,Tyranitar,Jellicent,Bronzong,Reuniclus,Infernape,18,lose,Stealth Rock,Fake Out,None,None,Spore,Swords Dance,Mach Punch,None,Flamethrower,None,None,None,Trick Room,None,None,None,Trick Room,Earthquake,None,None,None,None,None,None,0,0
100157536,BigBadLeroyBrown,1306,Tyranitar,Alakazam,Latios,Ferrothorn,Landorus-Therian,Excadrill,Tyranitar,31,win,Superpower,None,None,None,None,None,None,None,None,None,None,None,Spikes,Gyro Ball,Knock Off,None,Earthquake,Stealth Rock,Knock Off,None,None,None,None,None,1,0
1001647389,testing4g4in,1488,Tyranitar,Amoonguss,Starmie,Alakazam,Heatran,Skarmory,Starmie,22,lose,Pursuit,Stealth Rock,None,None,Spore,None,None,None,Rapid Spin,Trick,None,None,Psychic,Focus Blast,None,None,Fire Blast,None,None,None,Brave Bird,None,None,None,1,0
100171063,bossaru2,1377,Tyranitar,Stoutland,Forretress,Salamence,Gliscor,Breloom,Breloom,24,lose,Ice Punch,None,None,None,Superpower,Ice Fang,None,None,Explosion,None,None,None,Outrage,None,None,None,Protect,None,None,None,Spore,Mach Punch,None,None,0,0
100192677,jo0n vo0ight,1312,Tornadus,Politoed,Tentacruel,Dugtrio,Ferrothorn,Jirachi,Tornadus,22,lose,U-turn,None,None,None,Scald,Protect,None,None,Scald,Toxic,Substitute,None,Earthquake,None,None,None,Protect,Leech Seed,None,None,U-turn,Ice Punch,None,None,0,1
1002108995,Artemeye,1380,Tyranitar,Rotom-Wash,Ferrothorn,Landorus-Therian,Alakazam,Latias,Latias,56,win,Crunch,None,None,None,Pain Split,Hydro Pump,Will-O-Wisp,Volt Switch,Spikes,Stealth Rock,Gyro Ball,Knock Off,U-turn,None,None,None,Psyshock,Shadow Ball,Hidden Power,None,Trick,Surf,None,None,1,0
1002577437,uncertainty of tmr,1480,Gengar,Dragonite,Alakazam,Toxicroak,Skarmory,Scizor,Skarmory,22,win,None,None,None,None,Dragon Dance,Outrage,None,None,Shadow Ball,Focus Blast,Hidden Power,None,Drain Punch,Sucker Punch,Swords Dance,None,Stealth Rock,Spikes,None,None,Superpower,None,None,None,0,0
1002585142,uncertainty of tmr,1499,Gengar,Dragonite,Alakazam,Toxicroak,Skarmory,Scizor,Skarmory,15,win,None,None,None,None,Fire Punch,None,None,None,Psychic,Shadow Ball,Focus Blast,Hidden Power,None,None,None,None,Stealth Rock,Taunt,Spikes,None,Bullet Punch,None,None,None,0,0
1002695411,Alpacapazzo,1352,Toxicroak,Chansey,Politoed,Tentacruel,Skarmory,Jirachi,Politoed,58,lose,Ice Punch,Substitute,Bulk Up,None,None,None,None,None,Ice Beam,Encore,None,None,Scald,Toxic,None,None,Spikes,None,None,None,Psychic,Thunder,Calm Mind,Substitute,0,1
1002983067,Machine Gun Dragon,1519,Skarmory,Gastrodon,Reuniclus,Tyranitar,Latias,Heatran,Tyranitar,52,lose,Roost,Whirlwind,Spikes,None,Earthquake,Scald,Toxic,Recover,Psyshock,Recover,None,None,Stealth Rock,None,None,None,Recover,Draco Meteor,Surf,Thunder Wave,Toxic,None,None,None,0,0
100300188,WeForneMon,1325,Victini,Garchomp,Ninetales,Starmie,Venusaur,Gengar,Starmie,11,win,None,None,None,None,Stealth Rock,None,None,None,Flamethrower,None,None,None,None,None,None,None,Sludge Bomb,None,None,None,Shadow Ball,None,None,None,0,0
1003083688,blackkaiser,1304,Hippowdon,Ferrothorn,Jellicent,Latios,Garchomp,Scizor,Hippowdon,15,win,Stealth Rock,None,None,None,Spikes,None,None,None,Scald,None,None,None,Surf,None,None,None,None,None,None,None,U-turn,None,None,None,0,0
1003084675,westburger,1356,Garchomp,Heatran,Ferrothorn,Jellicent,Jolteon,Scizor,Ferrothorn,32,lose,Earthquake,None,None,None,Hidden Power,Fire Blast,Stealth Rock,None,Spikes,Power Whip,None,None,Taunt,Recover,Will-O-Wisp,None,Shadow Ball,None,None,None,Pursuit,Roost,Bullet Punch,U-turn,0,0
1003097860,Seanb143,1400,Jellicent,Scizor,Starmie,Heatran,Ninetales,Landorus-Therian,Landorus-Therian,16,lose,None,None,None,None,Pursuit,Bullet Punch,None,None,Hydro Pump,None,None,None,None,None,None,None,Hidden Power,None,None,None,Stone Edge,None,None,None,0,0
1003135367,doughboy,1469,Garchomp,Dragonite,Breloom,Starmie,Volcarona,Scizor,Dragonite,24,lose,None,None,None,None,Extreme Speed,Outrage,None,None,Spore,Focus Punch,None,None,Surf,None,None,None,None,None,None,None,Bullet Punch,U-turn,Superpower,None,0,0
1003555728,foxbeatsfalco,1334,Hippowdon,Ferrothorn,Jellicent,Latios,Garchomp,Scizor,Hippowdon,25,lose,Stealth Rock,Roar,None,None,Spikes,None,None,None,Will-O-Wisp,Scald,None,None,Surf,None,None,None,Earthquake,None,None,None,U-turn,None,None,None,0,0
1003767530,II Armando II,1515,Politoed,Jirachi,Kyurem-Black,Thundurus-Therian,Donphan,Keldeo,Politoed,22,win,Hypnosis,Ice Beam,None,None,None,None,None,None,Ice Beam,Fusion Bolt,Substitute,Earth Power,None,None,None,None,Earthquake,Rapid Spin,Ice Shard,Stealth Rock,None,None,None,None,0,1
1003769330,Odissey Nausicaa,1351,Breloom,Alakazam,Garchomp,Froslass,Scizor,Keldeo,Froslass,23,lose,Protect,Spore,Drain Punch,None,Psychic,Focus Blast,Hidden Power,None,Stealth Rock,None,None,None,Ice Beam,Destiny Bond,Spikes,None,U-turn,Superpower,None,None,Calm Mind,Hidden Power,None,None,0,0
1003797263,II Armando II,1511,Politoed,Jirachi,Kyurem-Black,Thundurus-Therian,Donphan,Keldeo,Politoed,47,win,Hypnosis,Hydro Pump,None,None,Protect,Iron Head,Wish,Body Slam,Ice Beam,Fusion Bolt,Substitute,Earth Power,Hidden Power,Thunder,Focus Blast,None,Rapid Spin,None,None,None,Hydro Pump,None,None,None,0,1
