Tag,Player 1 Pokemon 1,Player 1 Pokemon 2,Player 1 Pokemon 3,Player 1 Pokemon 4,Player 1 Pokemon 5,Player 1 Pokemon 6,Player 2 Pokemon 1,Player 2 Pokemon 2,Player 2 Pokemon 3,Player 2 Pokemon 4,Player 2 Pokemon 5,Player 2 Pokemon 6
1000949555,Infernape,Breloom,Tyranitar,Jellicent,Bronzong,Reuniclus,Gengar,Dragonite,Alakazam,Toxicroak,Skarmory,Scizor
1000956864,Infernape,Breloom,Tyranitar,Jellicent,Bronzong,Reuniclus,Gengar,Dragonite,Alakazam,Toxicroak,Skarmory,Scizor
100157536,Tyranitar,Alakazam,Latios,Ferrothorn,Landorus-Therian,Excadrill,Shuckle,Escavalier,Umbreon,Magnezone,Grumpig,Regigigas
1001647389,Tyranitar,Amoonguss,Starmie,Alakazam,Heatran,Skarmory,Alakazam,Skarmory,Gengar,Scizor,Toxicroak,Dragonite
100171063,Tyranitar,Stoutland,Forretress,Salamence,Gliscor,Breloom,Chansey,Wobbuffet,Cloyster,Garchomp,Dragonite,Donphan
100192677,Tornadus,Politoed,Tentacruel,Dugtrio,Ferrothorn,Jirachi,Breloom,Terrakion,Skarmory,Latios,Scizor,Landorus-Therian
1002108995,Tyranitar,Rotom-Wash,Ferrothorn,Landorus-Therian,Alakazam,Latias,Magnezone,Milotic,Terrakion,Gliscor,Latios,Jirachi
1002577437,Gengar,Dragonite,Alakazam,Toxicroak,Skarmory,Scizor,Tyranitar,Latios,Magnezone,Amoonguss,Skarmory,Garchomp
1002585142,Gengar,Dragonite,Alakazam,Toxicroak,Skarmory,Scizor,Tyranitar,Latios,Magnezone,Amoonguss,Skarmory,Garchomp
1002695411,Toxicroak,Chansey,Politoed,Tentacruel,Skarmory,Jirachi,Quagsire,Jirachi,Amoonguss,Jellicent,Gliscor,Forretress
1002983067,Skarmory,Gastrodon,Reuniclus,Tyranitar,Latias,Heatran,Politoed,Kyurem-Black,Tentacruel,Ferrothorn,Landorus-Therian,Tornadus
100300188,Victini,Garchomp,Ninetales,Starmie,Venusaur,Gengar,Riolu,Mew,Ferrothorn,Hydreigon,Alakazam,Scizor
1003083688,Hippowdon,Ferrothorn,Jellicent,Latios,Garchomp,Scizor,Garchomp,Volcarona,Ninetales,Heatran,Latios,Donphan
1003084675,Garchomp,Heatran,Ferrothorn,Jellicent,Jolteon,Scizor,Hippowdon,Ferrothorn,Jellicent,Latios,Garchomp,Scizor
1003097860,Jellicent,Scizor,Starmie,Heatran,Ninetales,Landorus-Therian,Alakazam,Landorus-Therian,Terrakion,Salamence,Scizor,Latios
