 Total battles: 1544
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Garchomp           | 27.10492% | 837    | 27.105% | 646    | 27.181% | 
 | 2    | Ferrothorn         | 23.34845% | 721    | 23.348% | 597    | 25.119% | 
 | 3    | Politoed           | 23.31606% | 720    | 23.316% | 638    | 26.844% | 
 | 4    | Tyranitar          | 22.63601% | 699    | 22.636% | 557    | 23.436% | 
 | 5    | Scizor             | 19.17098% | 592    | 19.171% | 446    | 18.766% | 
 | 6    | Heatran            | 15.60881% | 482    | 15.609% | 399    | 16.788% | 
 | 7    | Landorus-Therian   | 15.57642% | 481    | 15.576% | 370    | 15.568% | 
 | 8    | Skarmory           | 15.28497% | 472    | 15.285% | 388    | 16.325% | 
 | 9    | Latios             | 15.25259% | 471    | 15.253% | 354    | 14.895% | 
 | 10   | Jirachi            | 14.92876% | 461    | 14.929% | 347    | 14.600% | 
 | 11   | Jellicent          | 12.69430% | 392    | 12.694% | 307    | 12.917% | 
 | 12   | Dragonite          | 12.66192% | 391    | 12.662% | 288    | 12.118% | 
 | 13   | Starmie            | 11.88472% | 367    | 11.885% | 263    | 11.066% | 
 | 14   | Alakazam           | 11.62565% | 359    | 11.626% | 242    | 10.182% | 
 | 15   | Gliscor            | 11.30181% | 349    | 11.302% | 280    | 11.781% | 
 | 16   | Volcarona          | 11.23705% | 347    | 11.237% | 243    | 10.224% | 
 | 17   | Tentacruel         | 11.17228% | 345    | 11.172% | 272    | 11.445% | 
 | 18   | Rotom-Wash         | 10.62176% | 328    | 10.622% | 278    | 11.697% | 
 | 19   | Keldeo             | 10.52461% | 325    | 10.525% | 234    |  9.846% | 
 | 20   | Celebi             | 10.29793% | 318    | 10.298% | 256    | 10.771% | 
 | 21   | Latias             |  8.77591% | 271    |  8.776% | 170    |  7.153% | 
 | 22   | Breloom            |  8.29016% | 256    |  8.290% | 204    |  8.583% | 
 | 23   | Gengar             |  7.64249% | 236    |  7.642% | 176    |  7.405% | 
 | 24   | Ninetales          |  7.54534% | 233    |  7.545% | 212    |  8.920% | 
 | 25   | Terrakion          |  7.44819% | 230    |  7.448% | 166    |  6.985% | 
 | 26   | Forretress         |  7.28627% | 225    |  7.286% | 194    |  8.163% | 
 | 27   | Salamence          |  6.47668% | 200    |  6.477% | 133    |  5.596% | 
 | 28   | Reuniclus          |  6.41192% | 198    |  6.412% | 153    |  6.438% | 
 | 29   | Gyarados           |  6.37953% | 197    |  6.380% | 153    |  6.438% | 
 | 30   | Venusaur           |  6.05570% | 187    |  6.056% | 147    |  6.185% | 
 | 31   | Hydreigon          |  5.40803% | 167    |  5.408% | 127    |  5.344% | 
 | 32   | Kyurem-Black       |  5.37565% | 166    |  5.376% | 120    |  5.049% | 
 | 33   | Magnezone          |  5.18135% | 160    |  5.181% | 121    |  5.091% | 
 | 34   | Espeon             |  5.08420% | 157    |  5.084% | 108    |  4.544% | 
 | 35   | Thundurus-Therian  |  4.95466% | 153    |  4.955% | 117    |  4.923% | 
 | 36   | Conkeldurr         |  4.88990% | 151    |  4.890% | 122    |  5.133% | 
 | 37   | Tornadus           |  4.76036% | 147    |  4.760% | 110    |  4.628% | 
 | 38   | Toxicroak          |  4.69560% | 145    |  4.696% | 105    |  4.418% | 
 | 39   | Gastrodon          |  4.53368% | 140    |  4.534% | 118    |  4.965% | 
 | 40   | Infernape          |  4.37176% | 135    |  4.372% | 104    |  4.376% | 
 | 41   | Chansey            |  4.24223% | 131    |  4.242% | 90     |  3.787% | 
 | 42   | Dugtrio            |  4.04793% | 125    |  4.048% | 94     |  3.955% | 
 | 43   | Mamoswine          |  3.88601% | 120    |  3.886% | 100    |  4.208% | 
 | 44   | Hippowdon          |  3.72409% | 115    |  3.724% | 103    |  4.334% | 
 | 45   | Charizard          |  3.65933% | 113    |  3.659% | 88     |  3.703% | 
